"pool_div","pool_id","par_set_id","1","2","3","4","5","6","7","8","9","10"
3,7,7,0.202028619073183,0.271819171951699,1.07642740842074,0,0,0,0,0,0,0
3,8,8,-133.425914309945,-112.190132407951,-49.5990982628635,0,0,0,0,0,0,0
3,8,8,0.37610693507131,0.336634101788004,0.380830639350874,0,0,0,0,0,0,0
3,9,9,0.323333652193489,0.354462454992238,-0.268492799642442,0,0,0,0,0,0,0
3,9,9,3.96026494004826,-3.57611108965186,-8.90604701820033,0,0,0,0,0,0,0
3,9,9,0.981167607863987,-1.13261466384623,-0.611175914212257,0,0,0,0,0,0,0
3,9,9,0.41657848509015,0.258971102317644,-0.102152717043976,0,0,0,0,0,0,0
3,10,10,0.966194269356205,-3.33213626518128,2.08200478130324,0,0,0,0,0,0,0
3,10,10,-22.7676954180296,43.8129377375931,-30.590334059556,0,0,0,0,0,0,0
3,11,11,2.40535472929245,-0.0760938816681411,0.686825904777564,0,0,0,0,0,0,0
3,11,11,-1.19692372735712,-0.131465808025871,0.768682878904587,0,0,0,0,0,0,0
3,12,12,-11.5742193659881,-3.71050333436165,6.25133812759731,0,0,0,0,0,0,0
3,12,12,15.5755681259799,-69.6533639558711,-2.58478177552255,0,0,0,0,0,0,0
3,12,12,1.73068674795762,-0.0836092357673102,-0.667619903839058,0,0,0,0,0,0,0
3,12,12,0.352090270951755,-1.75234347904397,-0.344888246543402,0,0,0,0,0,0,0
3,13,13,1.85048310122396,2.79569163900116,-0.535154502038729,0,0,0,0,0,0,0
3,13,13,0.0964579549986096,-0.594661416991337,-0.901755427319998,0,0,0,0,0,0,0
3,13,13,2.29552319699724,0.562984616594569,1.23767738693703,0,0,0,0,0,0,0
3,13,13,0.245053730225097,-0.68037111698036,-1.17005083253411,0,0,0,0,0,0,0
3,14,14,-0.920503665121161,-2.35301417432478,-0.351121471798098,0,0,0,0,0,0,0
3,14,14,-0.824320396985039,-0.329441703260542,-0.499414492576496,0,0,0,0,0,0,0
3,14,14,2.23526329997914,2.93538236291137,1.08625442732381,0,0,0,0,0,0,0
3,14,14,-3.10505250851016,4.26096167332144,5.50595358861738,0,0,0,0,0,0,0
3,15,15,0.311206165430359,5.70386453938511,-3.61659423692153,0,0,0,0,0,0,0
3,15,15,0.639787568329414,-1.0926780024904,0.521024594633275,0,0,0,0,0,0,0
3,16,16,1.20517482160506,1.61524888172727,-0.490304891842425,0,0,0,0,0,0,0
3,16,16,-1.32866842518953,-4.67298625610833,1.44059115565779,0,0,0,0,0,0,0
3,17,17,-0.375904547652265,0.843634731319281,-0.248849300732449,0,0,0,0,0,0,0
3,17,17,-0.551419352348365,-0.286724563617088,-0.938806501230446,0,0,0,0,0,0,0
3,18,18,0.282638098298332,1.67843186203326,0.46689613503441,0,0,0,0,0,0,0
3,18,18,3.16335523532658,9.50162132899655,-5.74218270019933,0,0,0,0,0,0,0
3,19,19,1.04572218043968,-0.493026428834877,-0.298296237050587,0,0,0,0,0,0,0
3,19,19,-1.20275571407631,1.22975658539442,-0.451827075302895,0,0,0,0,0,0,0
3,19,19,-0.925427957560209,-0.603071022816187,-0.160747981810428,0,0,0,0,0,0,0
